Unic Identifier,Database,Gene,Species,TaxID,Last update,Sequence version
UPI000005D636,UniProtKB/TrEMBL,,Mammuthus primigenius,37349,2023-06-28,1
UPI0000086E61,UniProtKB/TrEMBL,IRBP,Mammuthus primigenius,37349,2023-06-28,1
UPI0000086FF2,UniProtKB/TrEMBL,A2AB,Mammuthus primigenius,37349,2023-06-28,1
UPI0000088238,UniProtKB/TrEMBL,VWF,Mammuthus primigenius,37349,2023-06-28,1
UPI0000128A36,UniProtKB/Swiss-Prot,MT,Mammuthus primigenius,37349,2023-06-28,3
UPI000016D5A9,EMBL,CYTB,Mammuthus primigenius,37349,2022-10-31,1
UPI000016D68D,EMBL,,Mammuthus primigenius,37349,2022-10-31,1
UPI000016D6CC,EMBL,CYTOCHROME,Mammuthus primigenius,37349,2022-10-31,1
UPI00003FF725,UniProtKB/TrEMBL,,Mammuthus primigenius,37349,2023-06-28,1
UPI00003FF72A,UniProtKB/TrEMBL,,Mammuthus primigenius,37349,2023-06-28,1
UPI00005CA242,UniProtKB/Swiss-Prot,MT,Mammuthus primigenius,37349,2023-06-28,1
UPI00005CA243,UniProtKB/Swiss-Prot,,Mammuthus primigenius,37349,2007-06-26,1
UPI00005CA244,UniProtKB/Swiss-Prot,MT,Mammuthus primigenius,37349,2023-06-28,1
UPI00005CA245,UniProtKB/Swiss-Prot,MT,Mammuthus primigenius,37349,2023-06-28,1
UPI00005CA246,UniProtKB/Swiss-Prot,MT,Mammuthus primigenius,37349,2023-06-28,1
UPI00005CA247,UniProtKB/Swiss-Prot,MT,Mammuthus primigenius,37349,2023-06-28,1
UPI00005CA248,RefSeq,,Mammuthus primigenius,37349,2006-02-24,1
UPI00005CA249,RefSeq,,Mammuthus primigenius,37349,2006-02-24,1
UPI00005CA24A,UniProtKB/Swiss-Prot,MT,Mammuthus primigenius,37349,2023-06-28,1
UPI00005CA24B,UniProtKB/Swiss-Prot,MT,Mammuthus primigenius,37349,2023-06-28,1
UPI00005CA24C,UniProtKB/Swiss-Prot,,Mammuthus primigenius,37349,2007-06-26,1
UPI00005CA24D,UniProtKB/Swiss-Prot,MT,Mammuthus primigenius,37349,2023-06-28,1
UPI0000695F04,UniProtKB/TrEMBL,ND1,Mammuthus primigenius,37349,2023-06-28,1
UPI0000695F05,UniProtKB/TrEMBL,ND2,Mammuthus primigenius,37349,2023-06-28,1
UPI0000695F06,EMBL,COX2,Mammuthus primigenius,37349,2022-10-31,1
UPI0000695F08,UniProtKB/Swiss-Prot,MT,Mammuthus primigenius,37349,2023-06-28,2
UPI0000695F0A,UniProtKB/TrEMBL,ND5,Mammuthus primigenius,37349,2023-06-28,1
UPI0000DB177D,UniProtKB/TrEMBL,LEPR,Mammuthus primigenius,37349,2023-06-28,1
UPI0000DB6942,UniProtKB/TrEMBL,,Mammuthus primigenius,37349,2023-06-28,1
UPI0000DB6943,UniProtKB/Swiss-Prot,MC1R,Mammuthus primigenius,37349,2023-06-28,1
UPI0000E6AD32,UniProtKB/Swiss-Prot,MT,Mammuthus primigenius,37349,2023-06-28,2
UPI0000E6AD33,UniProtKB/TrEMBL,ND3,Mammuthus primigenius,37349,2023-06-28,1
UPI0000E6AD34,UniProtKB/Swiss-Prot,MT,Mammuthus primigenius,37349,2023-06-28,2
UPI0001565F01,UniProtKB/TrEMBL,CYT,Mammuthus primigenius,37349,2023-06-28,1
UPI0001566005,UniProtKB/TrEMBL,CYT,Mammuthus primigenius,37349,2023-06-28,1
UPI0001566051,UniProtKB/TrEMBL,CYT,Mammuthus primigenius,37349,2023-06-28,1
UPI00015D1318,UniProtKB/TrEMBL,COX1,Mammuthus primigenius,37349,2023-06-28,1
UPI00015D1319,UniProtKB/TrEMBL,COX3,Mammuthus primigenius,37349,2023-06-28,1
UPI00015D131A,UniProtKB/TrEMBL,ND2,Mammuthus primigenius,37349,2023-06-28,1
UPI00015D132B,UniProtKB/TrEMBL,ND5,Mammuthus primigenius,37349,2023-06-28,1
UPI00015D1345,UniProtKB/TrEMBL,CYTB,Mammuthus primigenius,37349,2023-06-28,1
UPI00015D1346,UniProtKB/TrEMBL,ND6,Mammuthus primigenius,37349,2023-06-28,1
UPI00015D1347,UniProtKB/TrEMBL,COX2,Mammuthus primigenius,37349,2023-06-28,1
UPI00015D1348,UniProtKB/TrEMBL,ATP8,Mammuthus primigenius,37349,2023-06-28,1
UPI00015D1364,UniProtKB/TrEMBL,ND5,Mammuthus primigenius,37349,2023-06-28,1
UPI00015D1365,UniProtKB/TrEMBL,ND1,Mammuthus primigenius,37349,2023-06-28,1
UPI00015D1366,UniProtKB/TrEMBL,ND4,Mammuthus primigenius,37349,2023-06-28,1
UPI00015D1367,UniProtKB/TrEMBL,CYTB,Mammuthus primigenius,37349,2023-06-28,1
UPI00015D13A3,UniProtKB/TrEMBL,ND5,Mammuthus primigenius,37349,2023-06-28,1
UPI00015D13A4,UniProtKB/TrEMBL,CYTB,Mammuthus primigenius,37349,2023-06-28,1
UPI000162F0A6,UniProtKB/TrEMBL,ATP6,Mammuthus primigenius,37349,2023-06-28,1
UPI000162F0A8,UniProtKB/TrEMBL,ND4,Mammuthus primigenius,37349,2023-06-28,1
UPI000162F0A9,UniProtKB/TrEMBL,ND5,Mammuthus primigenius,37349,2023-06-28,1
UPI000162F0AA,UniProtKB/TrEMBL,ND6,Mammuthus primigenius,37349,2023-06-28,1
UPI0001768E1F,UniProtKB/TrEMBL,ND4L,Mammuthus primigenius,37349,2023-06-28,1
UPI0001768E20,UniProtKB/TrEMBL,ND4,Mammuthus primigenius,37349,2023-06-28,1
UPI0001768E21,UniProtKB/TrEMBL,ND6,Mammuthus primigenius,37349,2023-06-28,1
UPI0001768E2D,UniProtKB/TrEMBL,ND1,Mammuthus primigenius,37349,2023-06-28,1
UPI0001768E2E,UniProtKB/TrEMBL,ND2,Mammuthus primigenius,37349,2023-06-28,1
UPI0001768E2F,UniProtKB/TrEMBL,COX1,Mammuthus primigenius,37349,2023-06-28,1
UPI0001768E30,UniProtKB/TrEMBL,ATP6,Mammuthus primigenius,37349,2023-06-28,1
UPI0001768E31,UniProtKB/TrEMBL,COX3,Mammuthus primigenius,37349,2023-06-28,1
UPI0001768E32,UniProtKB/TrEMBL,ND3,Mammuthus primigenius,37349,2023-06-28,1
UPI0001768E33,UniProtKB/TrEMBL,ND4L,Mammuthus primigenius,37349,2023-06-28,1
UPI0001768E34,UniProtKB/TrEMBL,ND4,Mammuthus primigenius,37349,2023-06-28,1
UPI0001768E35,UniProtKB/TrEMBL,ND5,Mammuthus primigenius,37349,2023-06-28,1
UPI0001768E36,UniProtKB/TrEMBL,ND6,Mammuthus primigenius,37349,2023-06-28,1
UPI0001768E37,UniProtKB/TrEMBL,CYTB,Mammuthus primigenius,37349,2023-06-28,1
UPI0001768E38,UniProtKB/TrEMBL,ND1,Mammuthus primigenius,37349,2023-06-28,1
UPI0001768E39,UniProtKB/TrEMBL,COX2,Mammuthus primigenius,37349,2023-06-28,1
UPI0001768E3A,UniProtKB/TrEMBL,ND5,Mammuthus primigenius,37349,2023-06-28,1
UPI0001768E3B,UniProtKB/TrEMBL,ND6,Mammuthus primigenius,37349,2023-06-28,1
UPI0001768E3C,UniProtKB/TrEMBL,CYTB,Mammuthus primigenius,37349,2023-06-28,1
UPI0001768E3D,UniProtKB/TrEMBL,ND2,Mammuthus primigenius,37349,2023-06-28,1
UPI0001768E3E,UniProtKB/TrEMBL,ND3,Mammuthus primigenius,37349,2023-06-28,1
UPI0001768E3F,UniProtKB/TrEMBL,ND5,Mammuthus primigenius,37349,2023-06-28,1
UPI0001768E40,UniProtKB/TrEMBL,ND1,Mammuthus primigenius,37349,2023-06-28,1
UPI0001768E45,UniProtKB/TrEMBL,ND2,Mammuthus primigenius,37349,2023-06-28,1
UPI0001768E46,UniProtKB/TrEMBL,ND5,Mammuthus primigenius,37349,2023-06-28,1
UPI0001768E47,UniProtKB/TrEMBL,CYTB,Mammuthus primigenius,37349,2023-06-28,1
UPI00017FB6B1,UniProtKB/TrEMBL,CYTB,Mammuthus primigenius,37349,2023-06-28,1
UPI00017FB6B2,UniProtKB/TrEMBL,CYTB,Mammuthus primigenius,37349,2023-06-28,1
UPI000195FA4D,UniProtKB/TrEMBL,CYTB,Mammuthus primigenius,37349,2023-06-28,1
UPI0001963B53,UniProtKB/TrEMBL,,Mammuthus primigenius,37349,2023-06-28,1
UPI0001963B54,UniProtKB/TrEMBL,,Mammuthus primigenius,37349,2023-06-28,1
UPI0001963B55,UniProtKB/TrEMBL,,Mammuthus primigenius,37349,2023-06-28,1
UPI0001963B56,UniProtKB/TrEMBL,,Mammuthus primigenius,37349,2023-06-28,1
