Species,Gene,Count
Elephas maximus,AMELX,1
Elephas maximus,ENAM,1
Elephas maximus indicus,ALB,2
Elephas maximus indicus,COL17A1,2
Elephas maximus indicus,TUFT1,2
Elephas maximus indicus,AMBN,1
Elephas maximus indicus,AMELX,1
Elephas maximus indicus,AMTN,1
Elephas maximus indicus,COL1A1,1
Elephas maximus indicus,COL1A2,1
Elephas maximus indicus,COL2A1,1
Elephas maximus indicus,ENAM,1
Elephas maximus indicus,MMP20,1
Elephas maximus indicus,ODAM,1
Elephas maximus indicus,SERPINC1,1
Loxodonta africana,AMELX,6
Loxodonta africana,ODAM,5
Loxodonta africana,AMTN,4
Loxodonta africana,COL17A1,4
Loxodonta africana,COL2A1,4
Loxodonta africana,TUFT1,4
Loxodonta africana,AMBN,3
Loxodonta africana,COL1A1,3
Loxodonta africana,ENAM,2
Loxodonta africana,SERPINC1,2
Loxodonta africana,ALB,1
Loxodonta africana,AMELY,1
Loxodonta africana,COL1A2,1
Loxodonta africana,MMP20,1
Mammut americanum,COL1A1,1
